total key:5240
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : -0.9
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : 0
Qtable's state : 21	 , action : North	,key's item : -0.9
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : -0.9
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : -0.9
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : -0.9
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : 0
Qtable's state : 23	 , action : West	,key's item : 0
Qtable's state : 23	 , action : Stop	,key's item : 0
Qtable's state : 23	 , action : North	,key's item : 0
Qtable's state : 23	 , action : South	,key's item : -0.9
Qtable's state : 22	 , action : West	,key's item : -0.9
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : 0
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : -0.9
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : 0
Qtable's state : 22	 , action : West	,key's item : 0
Qtable's state : 22	 , action : Stop	,key's item : 0
Qtable's state : 22	 , action : North	,key's item : 0
Qtable's state : 22	 , action : South	,key's item : -0.9
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : -0.9
Qtable's state : 21	 , action : North	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : 0
Qtable's state : 31	 , action : Stop	,key's item : 0
Qtable's state : 31	 , action : East	,key's item : -0.9
Qtable's state : 41	 , action : West	,key's item : 0
Qtable's state : 41	 , action : Stop	,key's item : 0
Qtable's state : 41	 , action : East	,key's item : 0
Qtable's state : 41	 , action : North	,key's item : -0.9
Qtable's state : 42	 , action : Stop	,key's item : 0
Qtable's state : 42	 , action : East	,key's item : 0
Qtable's state : 42	 , action : North	,key's item : -0.9
Qtable's state : 42	 , action : South	,key's item : 0
Qtable's state : 43	 , action : Stop	,key's item : 0
Qtable's state : 43	 , action : East	,key's item : 0
Qtable's state : 43	 , action : North	,key's item : -0.9
Qtable's state : 43	 , action : South	,key's item : 0
Qtable's state : 44	 , action : Stop	,key's item : 0
