total key:6881
Qtable's state : 25	 , action : East	,key's item : -2.5491990373093416
Qtable's state : 35	 , action : West	,key's item : -2.4984518947836767
Qtable's state : 35	 , action : Stop	,key's item : -2.4944105425741734
Qtable's state : 35	 , action : East	,key's item : -2.474086856428121
Qtable's state : 25	 , action : West	,key's item : -496.97789184
Qtable's state : 25	 , action : Stop	,key's item : -483.138556416
Qtable's state : 25	 , action : East	,key's item : -3.002146683266949
Qtable's state : 25	 , action : West	,key's item : -2.833600582258841
Qtable's state : 25	 , action : Stop	,key's item : -2.0786473851027183
Qtable's state : 25	 , action : East	,key's item : -2.7288105670795444
Qtable's state : 25	 , action : West	,key's item : -2.38956942558641
Qtable's state : 25	 , action : Stop	,key's item : -2.3049156334858343
Qtable's state : 25	 , action : East	,key's item : -1.0148713265608664
Qtable's state : 15	 , action : Stop	,key's item : -2.749946623245335
Qtable's state : 15	 , action : East	,key's item : -2.75276180224016
Qtable's state : 15	 , action : South	,key's item : -499.9873815907561
Qtable's state : 25	 , action : West	,key's item : -1.4099874949560196
Qtable's state : 25	 , action : Stop	,key's item : -1.6114961577637072
Qtable's state : 25	 , action : East	,key's item : -1.528819273728
Qtable's state : 25	 , action : West	,key's item : -1.4976977805312
Qtable's state : 25	 , action : Stop	,key's item : -1.4902123339776
Qtable's state : 25	 , action : East	,key's item : -1.5814901270772594
Qtable's state : 35	 , action : West	,key's item : -1.228793971428557
Qtable's state : 35	 , action : Stop	,key's item : -1.236148480624558
Qtable's state : 35	 , action : East	,key's item : -1.230078959616585
Qtable's state : 35	 , action : West	,key's item : -1.17965113344
Qtable's state : 35	 , action : Stop	,key's item : -1.2237944860508159
Qtable's state : 35	 , action : East	,key's item : -1.2252815752562278
Qtable's state : 25	 , action : West	,key's item : -0.984
Qtable's state : 25	 , action : Stop	,key's item : -0.84
Qtable's state : 25	 , action : East	,key's item : -0.8169575424
Qtable's state : 35	 , action : West	,key's item : -0.6
Qtable's state : 35	 , action : Stop	,key's item : -0.6924211200000001
Qtable's state : 35	 , action : East	,key's item : -1.08
Qtable's state : 45	 , action : West	,key's item : -0.6
Qtable's state : 45	 , action : Stop	,key's item : -0.6
Qtable's state : 45	 , action : East	,key's item : -0.9359999999999999
Qtable's state : 55	 , action : West	,key's item : -0.744
Qtable's state : 55	 , action : Stop	,key's item : -0.65184
Qtable's state : 55	 , action : South	,key's item : -0.6407108129177814
Qtable's state : 45	 , action : West	,key's item : -0.84
Qtable's state : 45	 , action : Stop	,key's item : -0.6
Qtable's state : 45	 , action : East	,key's item : -0.36
Qtable's state : 35	 , action : West	,key's item : -0.6
Qtable's state : 35	 , action : Stop	,key's item : -0.744
Qtable's state : 35	 , action : East	,key's item : -0.6
Qtable's state : 25	 , action : West	,key's item : -0.84
Qtable's state : 25	 , action : Stop	,key's item : -0.6864
Qtable's state : 25	 , action : East	,key's item : -0.6
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : -0.6
Qtable's state : 35	 , action : East	,key's item : -0.84768
Qtable's state : 35	 , action : West	,key's item : -0.744
Qtable's state : 35	 , action : Stop	,key's item : -0.6
Qtable's state : 35	 , action : East	,key's item : -0.6
Qtable's state : 25	 , action : West	,key's item : -300.59999999999997
Qtable's state : 25	 , action : Stop	,key's item : 0
Qtable's state : 25	 , action : East	,key's item : -1.0212687747011524
Qtable's state : 35	 , action : West	,key's item : -300.59999999999997
Qtable's state : 35	 , action : Stop	,key's item : -420.84
Qtable's state : 35	 , action : East	,key's item : -1.203865521150128
Qtable's state : 25	 , action : West	,key's item : -1.5435717683354897
Qtable's state : 25	 , action : Stop	,key's item : -1.6429194254323733
Qtable's state : 25	 , action : East	,key's item : -1.5819309231254248
Qtable's state : 15	 , action : Stop	,key's item : -1.3335936
